source,version,published_year,scope,activity_type,name,is_renewable,is_biofuel,is_refrigerant,kgco2e,unit_name,heat_content,biogenic_kgco2e,cost_inr
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-225ca,False,False,True,127.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-125,False,False,True,3170.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-134,False,False,True,1120.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-225cb,False,False,True,525.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-21,False,False,True,148.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Nitrogen trifluoride,False,False,True,16100.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,PFC-9-1-18,False,False,True,7190.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Carbon dioxide,False,False,True,1.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Methane,False,False,True,28.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Nitrous oxide,False,False,True,265.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-23,False,False,True,12400.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-32,False,False,True,677.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-41,False,False,True,116.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-134a,False,False,True,1300.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-143,False,False,True,328.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-143a,False,False,True,4800.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-152a,False,False,True,138.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-227ea,False,False,True,3350.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-236fa,False,False,True,8060.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-245fa,False,False,True,858.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-43-I0mee,False,False,True,1650.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluoromethane (PFC-14),False,False,True,6630.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluoroethane (PFC-116),False,False,True,11100.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluoropropane (PFC-218),False,False,True,8900.0,kg,,,58.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluorocyclobutane (PFC-318),False,False,True,9540.0,kg,,,58.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluorobutane (PFC-3-1-10),False,False,True,9200.0,kg,,,58.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluoropentane (PFC-4-1-12),False,False,True,8550.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Perfluorohexane (PFC-5-1-14),False,False,True,7910.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Sulphur hexafluoride (SF6),False,False,True,23500.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-152,False,False,True,16.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-161,False,False,True,4.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-236cb,False,False,True,1120.0,kg,,,250.0
